ID,test_id,dep_type,lhs,rhs
0,0,MVD,"[66, 868, 199, 996, 682, 930, 566, 765, 692]","[546, 890]"
1,0,FD,"[364, 791, 283, 696, 590, 962]",[522]
2,0,FD,"[28, 516]",[84]
3,0,FD,"[277, 490, 546, 561, 366, 245]",[972]
4,0,MVD,[385],"[540, 623, 482, 596, 938, 693]"
5,0,FD,[875],[525]
6,0,FD,"[109, 745, 996, 654, 549, 331, 820, 9, 292]",[712]
7,0,FD,[890],[404]
8,0,FD,"[552, 670]",[3]
9,0,FD,[794],[78]
10,0,FD,"[506, 90]",[449]
11,0,MVD,"[208, 135, 48, 529, 726, 728, 329, 205, 818, 725]","[630, 849]"
12,0,MVD,"[477, 745, 617, 811, 277, 885, 286, 668, 468, 305, 171]","[231, 816, 5, 83, 868, 552]"
13,0,FD,"[562, 147, 709, 724]",[207]
14,0,FD,"[818, 38, 852, 580, 421, 999, 94, 248, 986, 395, 955, 744, 295, 656, 522]",[952]
15,0,MVD,[110],"[112, 902, 676, 936, 821, 50, 979]"
16,0,MVD,[115],"[501, 617, 574]"
17,0,MVD,"[425, 145, 644, 150, 381, 844, 838, 367, 84, 995, 666, 91, 818]","[954, 887, 5, 996, 827, 11, 675, 257]"
18,0,FD,"[219, 730, 225, 750, 999, 741, 763, 539]",[0]
19,0,MVD,"[102, 595]","[624, 118, 16]"
20,0,MVD,"[122, 140, 556, 267, 105, 70]","[385, 707, 639, 327, 970]"
21,0,FD,"[199, 248]",[276]
22,0,MVD,[30],"[611, 497, 913, 776, 900]"
23,0,MVD,[647],"[542, 831, 204]"
24,0,FD,"[407, 904]",[683]
25,0,MVD,"[113, 484, 140]","[418, 454, 384, 639]"
26,0,MVD,"[257, 205, 279, 475, 748, 24, 968, 929, 170, 580, 509, 914]","[902, 736, 488, 251, 971, 129, 275]"
27,0,FD,"[269, 83, 626, 187, 915]",[733]
28,0,FD,"[986, 854]",[279]
29,0,FD,"[207, 970, 913]",[551]
30,0,FD,"[418, 186]",[860]
31,0,MVD,"[671, 383, 150, 64, 332, 139]",[423]
32,0,FD,[184],[659]
33,0,MVD,[854],[992]
34,0,FD,"[27, 884, 499, 634]",[324]
35,0,MVD,"[567, 34, 178, 861, 673, 132, 982, 336, 886, 790]","[386, 330]"
36,0,MVD,"[362, 402, 746]","[343, 482, 970]"
37,0,FD,[815],[938]
38,0,MVD,"[511, 160]","[495, 420, 322, 218, 313, 951]"
39,0,MVD,[355],[9]
40,0,MVD,[971],"[450, 382, 54, 709, 774]"
41,0,MVD,"[94, 952, 40, 555, 896]","[892, 337, 773]"
42,0,FD,[157],[639]
43,0,FD,[30],[357]
44,0,FD,[220],[327]
45,0,MVD,"[716, 976, 371, 515, 326, 222, 399, 333]","[979, 41]"
46,0,FD,"[58, 355]",[131]
47,0,FD,[773],[729]
48,0,FD,"[74, 225, 88, 316, 469, 927, 202]",[862]
49,0,MVD,"[933, 613]","[138, 659, 415, 929, 736, 717, 669, 169]"
50,0,MVD,"[748, 524, 144, 651, 27]","[164, 635, 505, 460]"
51,0,MVD,"[675, 877, 373]","[445, 25, 530, 683]"
52,0,MVD,[39],"[856, 257, 417, 797]"
53,0,MVD,"[438, 469, 560, 788, 406, 803]","[904, 118, 563, 690]"
54,0,MVD,"[803, 565, 238, 596]",[580]
55,0,MVD,"[603, 5, 35, 922, 137, 477, 732]","[448, 485, 168, 594]"
56,0,MVD,"[424, 862, 556, 704]","[873, 940, 287, 678, 921, 660, 151]"
57,0,FD,"[854, 256, 652]",[340]
58,0,FD,"[257, 829, 384, 717]",[689]
59,0,MVD,"[185, 912, 805, 468, 418]","[83, 868, 975, 482, 971, 487]"
60,0,FD,"[284, 68, 56, 258, 59, 378, 409, 598, 452]",[244]
61,0,FD,"[531, 386, 357]",[790]
62,0,MVD,"[691, 957, 134, 226, 924, 968]","[654, 669]"
63,0,FD,"[223, 683]",[22]
64,0,MVD,[410],[925]
65,0,MVD,"[808, 446, 351, 903, 317]",[399]
66,0,MVD,"[557, 784, 981]","[722, 5]"
67,0,MVD,"[780, 977, 527]",[717]
68,0,MVD,"[552, 637, 747, 501]","[437, 33, 913]"
69,0,MVD,"[126, 558, 206, 559, 311]","[188, 430, 763, 336]"
70,0,MVD,"[135, 517, 732, 487, 500, 666]",[816]
71,0,FD,"[198, 471]",[981]
72,0,FD,"[337, 190, 216, 476, 564]",[89]
73,0,FD,"[377, 964, 293, 389, 507, 177]",[487]
74,0,FD,"[163, 320]",[528]
75,0,FD,"[875, 859, 776, 829, 558, 739, 369]",[496]
76,0,FD,"[515, 336]",[455]
77,0,FD,"[86, 408]",[821]
78,0,MVD,"[103, 765]","[965, 706, 749, 360, 881, 792, 639, 108, 370, 539]"
79,0,FD,"[564, 243, 751, 803, 863]",[228]
80,0,FD,"[575, 887]",[542]
81,0,MVD,"[647, 793, 37, 609]","[9, 802, 177, 918]"
82,0,MVD,"[605, 751, 20, 164, 707, 509]","[418, 511, 71, 74]"
83,0,FD,[268],[959]
84,0,MVD,"[385, 626, 264, 400, 340, 853, 267, 600, 773, 831, 302]","[586, 307]"
85,0,FD,"[800, 864, 636, 746, 849, 896, 200, 796]",[203]
86,0,FD,"[874, 929, 297, 581, 402, 927, 882, 344]",[947]
87,0,FD,"[846, 862, 561, 270, 805]",[946]
88,0,MVD,"[415, 22]",[543]
89,0,FD,"[65, 912]",[175]
90,0,FD,[709],[641]
91,0,FD,[224],[969]
92,0,FD,"[388, 167, 732, 734, 11]",[817]
93,0,MVD,[673],"[344, 389, 619, 849]"
94,0,FD,"[926, 784]",[231]
95,0,FD,"[161, 685]",[136]
96,0,FD,"[696, 104, 16, 121, 396, 154]",[873]
97,0,FD,[286],[165]
98,0,MVD,"[832, 815, 12, 989, 563, 713, 781]","[359, 297]"
99,0,FD,"[362, 30, 481, 891]",[895]
