ID;test_id;dep_type;lhs;rhs
0;0;MVD;[922, 639, 534, 510, 598, 244, 685, 141, 219, 680, 306, 556, 893, 389, 314, 645, 211, 693];[939, 315, 907, 320]
1;0;MVD;[29, 541];[526]
2;0;MVD;[250];[182]
3;0;MVD;[728];[572, 707, 325, 368]
4;0;MVD;[30, 298, 7, 884, 870];[533, 465]
5;0;FD;[383, 569, 776, 287, 337];[27]
6;0;FD;[687, 354, 746, 460];[433]
7;0;FD;[694, 953, 580, 45, 565, 926, 674, 473];[155]
8;0;MVD;[451, 366, 529, 517];[457, 453, 759]
9;0;MVD;[922, 906];[826]
10;0;FD;[915, 999, 968, 770];[261]
11;0;FD;[410];[651]
12;0;MVD;[402, 978, 224, 375, 420, 896, 966, 591];[380, 494, 276, 987]
13;0;MVD;[365, 679, 33, 11, 598, 273];[407]
14;0;FD;[445, 447, 620, 238];[288]
15;0;MVD;[271, 231, 732, 287, 307, 385, 876];[848, 255, 585, 29, 946, 731]
16;0;FD;[617];[666]
17;0;FD;[434, 705, 792];[192]
18;0;MVD;[851, 451, 334, 529];[470, 596, 819, 659, 448, 481, 256, 453, 26, 770, 805]
19;0;FD;[882];[822]
20;0;MVD;[52];[945, 687, 870]
21;0;FD;[47, 544, 78, 818, 622, 418, 292];[623]
22;0;MVD;[439, 915, 235];[12, 930, 839]
23;0;MVD;[296, 936, 898, 52, 502];[906, 305]
24;0;MVD;[372, 495];[176, 194, 115, 362, 317, 210]
25;0;FD;[503, 209, 853, 711];[153]
26;0;FD;[913, 26, 191, 33, 824, 684];[683]
27;0;FD;[846, 929, 503, 386];[38]
28;0;FD;[758, 990, 837, 584, 628, 307, 848, 654, 281, 410, 553];[352]
29;0;MVD;[966, 679, 259];[194]
30;0;MVD;[677, 285, 555, 120, 978, 165];[195]
31;0;FD;[595, 761];[776]
32;0;MVD;[837, 41];[819, 470, 334, 516, 801, 376, 856, 117, 485]
33;0;MVD;[111, 521, 501, 467, 857];[338, 875]
34;0;FD;[120, 31, 80, 755, 246, 245, 121];[338]
35;0;FD;[910, 474];[679]
36;0;MVD;[205, 953, 895, 944, 97, 434, 992, 999, 102];[457, 362]
37;0;MVD;[898, 559, 882, 573, 432];[831, 50, 987, 214, 18, 56, 25, 804]
38;0;MVD;[600];[39, 706]
39;0;MVD;[131, 448];[902, 673, 697, 237]
40;0;FD;[635, 863];[96]
41;0;MVD;[517, 560];[143, 853, 440, 926]
42;0;FD;[258, 431];[945]
43;0;FD;[755, 721, 104, 377, 580];[442]
44;0;MVD;[981];[364, 490, 194, 221, 266, 98, 565, 165, 182]
45;0;MVD;[822, 479, 762];[783, 485]
46;0;FD;[453];[312]
47;0;MVD;[902, 146];[54, 127, 864, 781]
48;0;MVD;[26, 902, 200];[620, 335]
49;0;MVD;[678, 428];[980]
50;0;MVD;[14, 303, 954, 683, 641, 805, 304];[453, 771]
51;0;MVD;[593, 737, 384];[1]
52;0;FD;[634];[398]
53;0;FD;[819];[279]
54;0;FD;[977, 808];[632]
55;0;FD;[651, 434, 489];[930]
56;0;MVD;[512, 474];[944, 201, 921, 521, 39]
57;0;MVD;[800, 351, 630, 926, 333, 198, 870];[906]
58;0;FD;[546];[292]
59;0;FD;[823, 76, 61, 450, 893, 865, 10, 67, 392, 686];[259]
60;0;MVD;[497, 458, 510, 226];[179]
61;0;FD;[35, 352, 98, 852, 724];[538]
62;0;FD;[409, 596, 300, 794, 845, 200];[433]
63;0;FD;[841, 924, 529, 914, 840, 359, 391, 556, 410, 714];[604]
64;0;MVD;[14];[960, 678]
65;0;FD;[836, 164];[291]
66;0;FD;[663, 15];[748]
67;0;FD;[575, 941, 504, 625, 252];[396]
68;0;MVD;[27, 175];[879, 357, 71, 380]
69;0;MVD;[190, 138, 577, 330, 122, 10, 899];[645, 586, 970, 68, 711, 716]
70;0;MVD;[411, 804, 12, 882];[984, 8, 586, 772, 204, 129]
71;0;FD;[698, 460];[186]
72;0;MVD;[79];[70, 959, 18, 678, 610]
73;0;FD;[566];[363]
74;0;FD;[686, 530, 391];[787]
75;0;MVD;[515, 368, 425, 216, 910];[788]
76;0;FD;[456, 761, 402];[405]
77;0;MVD;[154, 138, 222];[843, 334, 724, 670, 76, 627]
78;0;MVD;[894, 753];[60, 747]
79;0;FD;[748];[311]
80;0;MVD;[765, 440, 582];[183, 448]
81;0;FD;[332, 862];[720]
82;0;MVD;[558, 995];[385, 236, 988, 892, 120, 523]
83;0;MVD;[790, 295, 190, 252];[618, 324, 502, 178, 366]
84;0;FD;[753];[978]
85;0;MVD;[13];[528, 512, 346]
86;0;FD;[341, 44, 186, 846];[2]
87;0;MVD;[951, 667];[943]
88;0;FD;[993, 488, 169];[198]
89;0;FD;[607, 847, 475];[214]
90;0;FD;[909, 722, 227, 81, 546, 274];[947]
91;0;FD;[651, 365, 418];[364]
92;0;MVD;[989, 642, 329, 397, 849];[640, 682, 840, 586, 373, 229, 581]
93;0;MVD;[370, 470];[312, 710, 914, 46]
94;0;MVD;[466, 640, 22];[508]
95;0;FD;[361, 960, 322, 628, 509, 315, 583, 503, 998, 834, 736];[767]
96;0;MVD;[962, 643, 780];[728, 934, 956, 165, 983, 585, 142, 532]
97;0;FD;[362, 937];[906]
98;0;FD;[733];[941]
99;0;FD;[817, 345];[805]
