ID,test_id,dep_type,lhs,rhs
0,0,FD,"[221, 85, 308, 110, 7]",[591]
1,0,MVD,"[173, 399]",[863]
2,0,MVD,[270],"[822, 643, 685, 899]"
3,0,MVD,"[103, 653, 534, 703, 300, 817, 366, 701]","[567, 210, 668, 340]"
4,0,MVD,"[601, 777]","[973, 974, 669, 783]"
5,0,MVD,"[923, 688, 875, 473]","[710, 344, 918, 599, 698, 9, 459, 827, 648]"
6,0,FD,"[170, 480, 798]",[165]
7,0,MVD,"[217, 465]","[605, 785, 418, 292, 348, 674]"
8,0,MVD,[714],"[123, 612]"
9,0,FD,"[154, 978, 318, 529, 975]",[77]
10,0,MVD,"[922, 454, 566]","[723, 892]"
11,0,MVD,[467],"[412, 84, 731, 751, 746, 667, 704, 127, 336, 497]"
12,0,MVD,"[978, 342, 779]",[955]
13,0,MVD,"[942, 909, 657, 570, 692, 515, 256, 358, 860, 211, 797]",[647]
14,0,MVD,[32],"[515, 444, 48, 763, 528, 290]"
15,0,FD,[428],[669]
16,0,MVD,"[168, 398]","[680, 393]"
17,0,MVD,"[147, 327]","[162, 210, 89, 546, 31, 772, 23, 5]"
18,0,MVD,"[238, 649, 99, 698, 771, 14, 792, 488, 934]","[827, 486, 385]"
19,0,MVD,"[67, 913, 951, 86, 156, 830]","[462, 322]"
20,0,FD,"[725, 673, 156, 303, 621, 205, 511, 902, 468, 860, 745, 557, 76]",[202]
21,0,MVD,[119],"[651, 662, 731]"
22,0,MVD,[965],"[735, 976, 271, 957]"
23,0,MVD,[268],"[991, 890, 776, 639, 161]"
24,0,FD,"[345, 866, 91, 110, 881, 521, 338, 737, 758, 784, 772]",[599]
25,0,MVD,"[85, 232, 19, 949, 350, 282]","[524, 659, 883]"
26,0,MVD,"[701, 960, 749, 523, 847]",[201]
27,0,MVD,"[786, 913, 917, 685, 122]","[144, 93, 378]"
28,0,MVD,"[172, 198, 381, 442, 158]","[936, 920]"
29,0,MVD,[128],"[665, 137, 185]"
30,0,MVD,"[83, 367, 182, 222, 244]",[122]
31,0,MVD,"[632, 186, 717, 678, 981, 335, 178, 756, 788, 938, 150, 524, 680]","[766, 931, 552, 424, 979, 863, 377, 737, 952]"
32,0,FD,"[623, 682, 375, 754, 664, 304]",[628]
33,0,MVD,"[949, 375, 22, 1]",[786]
34,0,FD,"[323, 570]",[690]
35,0,MVD,"[766, 981, 726, 875]",[882]
36,0,MVD,"[495, 279, 703, 682, 33]","[29, 264, 540, 669, 568, 514, 56, 161]"
37,0,MVD,"[113, 466]",[593]
38,0,MVD,"[474, 69, 611, 193]","[529, 266, 559, 218, 118]"
39,0,MVD,"[502, 226]",[749]
40,0,FD,"[719, 150, 908, 137]",[351]
41,0,FD,[906],[81]
42,0,FD,"[864, 184, 554]",[484]
43,0,MVD,[0],"[790, 722, 218, 920, 467, 989, 559]"
44,0,MVD,[38],"[552, 399, 113, 721, 461, 105]"
45,0,FD,[679],[44]
46,0,MVD,"[739, 623, 165, 180, 305, 852, 740, 706, 272, 579, 392]","[127, 28, 691, 485, 378, 415]"
47,0,FD,"[635, 996, 416, 75]",[748]
48,0,MVD,"[561, 417, 187]",[753]
49,0,MVD,"[812, 800]","[366, 829]"
50,0,FD,"[261, 411, 417, 202, 801, 654]",[172]
51,0,MVD,"[877, 780]","[624, 193, 955, 189, 664, 553, 63, 939, 603]"
